tipo_logradouro,nome_logradouro,numero,bairro,cep,lat,lng
Rua,Paula Brito,401,Andarai,20541190,-22.927653,-43.254086
Rua,Paula Brito,365,Andarai,20541190,-22.927337,-43.253917
Rua,Paula Brito,339,Andarai,20541190,-22.927130,-43.253862
Rua,Paula Brito,333,Andarai,20541190,-22.927127,-43.253731
Rua,Paula Brito,299,Andarai,20541190,-22.926817,-43.253480
Rua,Costa e Silva,11,Manguariba,23065017,-22.870401,-43.629488
Rua,Joao Goulart,23,Manguariba,23065230,-22.870739,-43.630882
Rua,Costa e Silva,2,Manguariba,23065017,-22.871042,-43.629322
Vila,Tabajara,5,Senador Vasconcelos,23013470,-22.899440,-43.542943
Rua,Jose Martins Pires,21,Campo Grande,23093665,-22.880775,-43.534929
Beco,Um,1,Itanhanga,21930610,-22.975260,-43.329194
Beco,Um,3,Itanhanga,21930610,-22.975273,-43.329166
Beco,Um,4,Itanhanga,21930610,-22.975342,-43.329331
Travessa,Nebraska,13,Vila Kennedy,21852360,-22.854546,-43.490600
Travessa,Nebraska,5,Vila Kennedy,21852360,-22.854637,-43.490603
Rua,Max Yantok,0,Bancarios,21910180,-22.793606,-43.180782
Praca,Alvaro de Araujo Salasar,0,Santa Cruz,23560051,-22.905781,-43.701835
Rua,Bento Goncalves,232,Engenho de Dentro,20755310,-22.893906,-43.297739
Rua,Bento Goncalves,256,Engenho de Dentro,20755310,-22.893843,-43.297890
Rua,Bento Goncalves,240,Engenho de Dentro,20755310,-22.893857,-43.297787
Rua,Bento Goncalves,284,Engenho de Dentro,20755310,-22.893951,-43.298303
Rua,Bento Goncalves,296,Engenho de Dentro,20755310,-22.894014,-43.298297
Vila,Sao Paulo,5,Engenho Novo,20961150,-22.901476,-43.267969
Travessa,Julio Cesario,2,Campo Grande,23016290,-22.913202,-43.538390
Rua,Felipe Cardoso,2593,Santa Cruz,23520571,-22.934267,-43.668710
Vila,Sao Paulo,4,Engenho Novo,20961150,-22.901383,-43.267902
Rua,Felipe Cardoso,2573,Santa Cruz,23520571,-22.933882,-43.669256
Rua,Piracaia,1082,Marechal Hermes,21555260,-22.851792,-43.360710
Rua,Do Livramento,209,Gamboa,21922200,-22.897932,-43.195673
Rua,Do Livramento,205,Gamboa,21922200,-22.897634,-43.195030
Rua,Engenheiro Lafayete Stockler,1003,Vila da Penha,21221390,-22.841168,-43.312328
Rua,Engenheiro Lafayete Stockler,983,Vila da Penha,21221390,-22.841153,-43.312170
Rua,Piracaia,1134,Marechal Hermes,21555260,-22.851597,-43.360255
Rua,Luis Barbalho,89,Rocha Miranda,21510110,-22.844798,-43.348107
Rua,Luis Barbalho,9,Rocha Miranda,21510110,-22.844860,-43.348938
Rua,Divisoria,5,Senador Camara,21843000,-22.868139,-43.498018
Rua,Franco Vaz,337,Quintino,21311320,-22.890971,-43.324219
Rua,Franco Vaz,321,Quintino,21311320,-22.890789,-43.324109
Rua,Pacheco,402,Ilha de Guaratiba,23020112,-22.984853,-43.547078
Rua,Ator Jece Valadao,104,Pedra de Guaratiba,23020718,-22.995701,-43.616170
Rua,Ator Jece Valadao,106,Pedra de Guaratiba,23020718,-22.995565,-43.616031
Rua,Ator Jece Valadao,108,Pedra de Guaratiba,23020718,-22.995511,-43.616183
Rua,Ator Jece Valadao,114,Pedra de Guaratiba,23020718,-22.995499,-43.616296
Rua,Borges Monteiro,67,Higienopolis,21051460,-22.872122,-43.261149
Rua,Castorina,86,Tijuca,20260260,-22.926878,-43.219351
Rua,Barao do Bom Retiro,151,Engenho Novo,20715002,-22.904685,-43.269805
Rua,Barao do Bom Retiro,107,Engenho Novo,20715002,-22.904329,-43.269717
Rua,Barao do Bom Retiro,0,Engenho Novo,20715002,-22.903507,-43.269687
Rua,Barao do Bom Retiro,121,Engenho Novo,20715002,-22.904463,-43.269731
Rua,Barao do Bom Retiro,87,Engenho Novo,20715002,-22.904133,-43.269690
Rua,Barao do Bom Retiro,75,Engenho Novo,20715002,-22.904038,-43.269566
Rua,Joao Borges Filho,385,Campo Grande,23088360,-22.885437,-43.546561
Rua,Joao Borges Filho,375,Campo Grande,23088360,-22.885333,-43.546472
Rua,Joao Borges Filho,355,Campo Grande,23088360,-22.885328,-43.546387
Rua,Joao Borges Filho,315,Campo Grande,23088360,-22.884957,-43.546183
Rua,Joao Borges Filho,265,Campo Grande,23088360,-22.884680,-43.546016
Rua,Nerval de Gouveia,143,Quintino,21311110,-22.887635,-43.323674
Rua,Nerval de Gouveia,131,Quintino,21311110,-22.887835,-43.323423
Rua,Nerval de Gouveia,165,Quintino,21311110,-22.887305,-43.324059
